LocationName	zone	altitude	lat	lon
AJGR	2	627.8	47.33321	8.4803
BSCR	2	462.3	47.35581	8.43007
BUDF	10	490.2	47.3627	8.43311
KBRL	7	510.5	47.32582	8.53755
KTGM	2	530.3	47.3233401	8.5964219
RCTZ	7	440.9	47.434277	8.506933
SMHK	2	404.4	47.39441	8.44583
SZGL	2	391.9	47.405815	8.445361
ULGW	6	627.1	47.35748	8.46909
UTLI	10	863.6	47.351406	8.490318
WMOO	4	526.3	47.33625	8.46195
WRTW	2	451.4	47.418366	8.6038439
WSUM	10	424.7	47.419728	8.430176
ZALL	5	422.7	47.3534	8.5241
ZAML	2	445.5	47.42409286	8.507077716
ZAZG	2	430.6	47.413577	8.57215
ZBLG	2	410.7	47.37893	8.51259
ZBRC	2	436.0	47.425955	8.542861
ZDLT	5	448.4	47.36582	8.5036
ZECB	2	406.8	47.3832001	8.5098643
ZFBL	5	443.4	47.42826	8.55042
ZFHB	8	518.5	47.395	8.55174
ZFRK	2	442.0	47.4097566	8.543918208
ZGHD	2	413.5	47.37044573	8.523255598
ZHBG	10	683.9	47.385994	8.568091
ZHBR	2	615.8	47.38158	8.56605
ZHRG	3	410.5	47.3777734	8.51946
ZHRO	2	397.6	47.39394	8.48667
ZHRZ	3	429.5	47.40359619	8.58776414
ZLDW	5	405.9	47.34887	8.53629
ZLMT	14	407.8	47.36923	8.54328
ZNEU	2	404.7	47.384587	8.525195
ZORL	5	439.9	47.41477968	8.53791332
ZPFW	1	402.5	47.388045	8.513577
ZPRD	2	409.7	47.37022399	8.538994271
ZRDH	3	470.0	47.4185536	8.5117087
ZSBN	3	415.4	47.3858352	8.4779075
ZSCH	2	413.1	47.3709831	8.5235694
ZSEF	2	415.1	47.35717	8.55519
ZSTA	2	420.8	47.38674104	8.539785496
ZSTL	2	430.8	47.40834	8.56352
ZSZW	7	602.2	47.3824882	8.5908234
ZTBN	2	402.9	47.38972077	8.517753499
ZUBG	3	480.7	47.35286	8.51108
ZUE	3	408.8	47.37757607	8.530396999
ZWCH	2	450.0	47.34303	8.52706
